sp_name,species_author,status,family
Amphidraus pulvinus,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus quimbaya,"Galvis, 2017",accepted,Salticidae
Amphidraus quinini,"Galvis, 2017",accepted,Salticidae
Amphidraus sacrificatus,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus santanae,"Galiano, 1967",accepted,Salticidae
Amphidraus shenlong,"Salgado & Ruiz, 2019",accepted,Salticidae
Amphidraus sie,"Galvis, 2017",accepted,Salticidae
Amphidraus sikuani,"Galvis, 2017",accepted,Salticidae
Amphidraus simplex,"Salgado & Ruiz, 2017",accepted,Salticidae
Amphidraus somondoco,"Galvis, 2017",accepted,Salticidae
Amphidraus sotairensis,"Galvis, 2017",accepted,Salticidae
Amphidraus sua,"Galvis, 2017",accepted,Salticidae
Amphidraus tanimuca,"Galvis, 2017",accepted,Salticidae
Amphidraus tisquesusa,"Galvis, 2017",accepted,Salticidae
Amphidraus tundama,"Galvis, 2017",accepted,Salticidae
Amphidraus zaque,"Galvis, 2017",accepted,Salticidae
Amphidraus zipa,"Galvis, 2017",accepted,Salticidae
Amycus albipalpus,"Galvis, 2015",accepted,Salticidae
Amycus amazonicus,"(Mello-Leitão, 1930)",synonym,Salticidae
Amycus amrishi,"Makhan, 2006",accepted,Salticidae
Amycus annulatus,"Simon, 1900",accepted,Salticidae
Amycus argentinus,"Mello-Leitão, 1945",synonym,Salticidae
Amycus carvalhoi,"Mello-Leitão, 1949",synonym,Salticidae
Amycus delicatus,"(Blackwall, 1862)",nomen dubium,Salticidae
Amycus ectypus,"Simon, 1900",accepted,Salticidae
Amycus effeminatus,"Caporiacco, 1954",nomen dubium,Salticidae
Amycus equulus,"Simon, 1900",accepted,Salticidae
Amycus flavicomis,"Simon, 1900",accepted,Salticidae
Amycus flavolineatus,"C. L. Koch, 1846",accepted,Salticidae
Amycus gertschi,"Soares & Camargo, 1948",synonym,Salticidae
Amycus igneus,"(Perty, 1833)",accepted,Salticidae
Amycus lechugalensis,"Taczanowski, 1878",nomen dubium,Salticidae
Amycus lycosiformis,"Taczanowski, 1878",accepted,Salticidae
Amycus patellaris,"(Caporiacco, 1954)",nomen dubium,Salticidae
Amycus pertyi,"Simon, 1900",accepted,Salticidae
Amycus rufifrons,"Simon, 1900",accepted,Salticidae
Amycus spectabilis,"C. L. Koch, 1846",accepted,Salticidae
Amycus thoracicus,"Taczanowski, 1878",nomen dubium,Salticidae
Amycus tristis,"Mello-Leitão, 1940",nomen dubium,Salticidae
Ananeon howardensis,"Richardson, 2013",accepted,Salticidae
Anarrhotus fossulatus,"Simon, 1902",accepted,Salticidae
Anasaitis adorabilis,"Zhang & Maddison, 2012",accepted,Salticidae
Anasaitis arcuata,"(Franganillo, 1930)",accepted,Salticidae
Anasaitis arcuata fulgida,"Franganillo, 1930",accepted,Salticidae
Anasaitis aurata,"(Hentz, 1846)",synonym,Salticidae
Anasaitis banksi,"(Roewer, 1951)",accepted,Salticidae
Anasaitis brunnea,"Zhang & Maddison, 2012",accepted,Salticidae
Anasaitis canalis,"(Chamberlin, 1925)",accepted,Salticidae
Anasaitis canosa,"(Walckenaer, 1837)",accepted,Salticidae
Anasaitis crucifera,"(Keyserling, 1885)",synonym,Salticidae
Anasaitis cubana,"(Roewer, 1951)",accepted,Salticidae
Anasaitis decoris,"Bryant, 1950",accepted,Salticidae
Anasaitis elegantissima,"(Simon, 1888)",accepted,Salticidae
Anasaitis emertoni,"(Bryant, 1940)",accepted,Salticidae
Anasaitis gloriae,"(Petrunkevitch, 1930)",accepted,Salticidae
Anasaitis hebetata,"Zhang & Maddison, 2012",accepted,Salticidae
Anasaitis laxa,"Zhang & Maddison, 2012",accepted,Salticidae
Anasaitis locuples,"(Simon, 1888)",accepted,Salticidae
Anasaitis morgani,"(Peckham & Peckham, 1901)",accepted,Salticidae
Anasaitis peckhami,"(Petrunkevitch, 1914)",accepted,Salticidae
Anasaitis perplexa,"(Peckham & Peckham, 1901)",accepted,Salticidae
Anasaitis placida,"(Bryant, 1947)",accepted,Salticidae
Anasaitis scintilla,"Bryant, 1950",accepted,Salticidae
Anasaitis squamata,"(Bryant, 1940)",accepted,Salticidae
Anasaitis venatoria,"(Peckham & Peckham, 1901)",accepted,Salticidae
Anaurus flavimanus,"Simon, 1900",accepted,Salticidae
Ancepitilobus howensis,"Richardson, 2016",accepted,Salticidae
Anicius dolius,"Chamberlin, 1925",accepted,Salticidae
Anokopsis avitoides,"Bauab & Soares, 1980",accepted,Salticidae
Ansienulina mirabilis,"Wesolowska, 2015",accepted,Salticidae
Antillattus applanatus,"Zhang & Maddison, 2012",accepted,Salticidae
Antillattus cambridgei,"(Bryant, 1943)",accepted,Salticidae
Antillattus cubensis,"(Franganillo, 1935)",accepted,Salticidae
Antillattus darlingtoni,"(Bryant, 1943)",accepted,Salticidae
Antillattus electus,"(Bryant, 1943)",homonym replaced,Salticidae
Antillattus electus,"(Bryant, 1943)",accepted,Salticidae
Antillattus gracilis,"Bryant, 1943",accepted,Salticidae
Antillattus keyserlingi,"(Bryant, 1940)",accepted,Salticidae
Antillattus mandibulatus,"(Bryant, 1940)",accepted,Salticidae
Antillattus maxillosus,"(Bryant, 1943)",accepted,Salticidae
Antillattus montanus,"(Bryant, 1943)",accepted,Salticidae
Antillattus peckhami,"(Bryant, 1943)",accepted,Salticidae
Antillattus placidus,"Bryant, 1943",accepted,Salticidae
Antillattus scutiformis,"Zhang & Maddison, 2015",accepted,Salticidae
Apamamia,"Roewer, 1944",synonym,Salticidae
Apatita,"Mello-Leitão, 1933",synonym,Salticidae
Aphirape ancilla,"(C. L. Koch, 1846)",accepted,Salticidae
Aphirape boliviensis,"Galiano, 1981",accepted,Salticidae
Aphirape flexa,"Galiano, 1981",accepted,Salticidae
Aphirape gamas,"Galiano, 1996",accepted,Salticidae
Aphirape misionensis,"Galiano, 1981",accepted,Salticidae
Aphirape riojana,"(Mello-Leitão, 1941)",accepted,Salticidae
Aphirape riparia,"Galiano, 1981",accepted,Salticidae
Aphirape uncifera,"(Tullgren, 1905)",accepted,Salticidae
Apricia bracteata,"(L. Koch, 1879)",accepted,Salticidae
Apricia jovialis,"(L. Koch, 1879)",accepted,Salticidae
Apricia longipalpis,"Richardson, 2016",accepted,Salticidae
Arachnomura hieroglyphica,"Mello-Leitão, 1917",accepted,Salticidae
Arachnomura querandi,"Bustamante & Ruiz, 2017",accepted,Salticidae
Arachnotermes termitophilus,"Mello-Leitão, 1928",accepted,Salticidae
Araegeus fornasinii,"(Pavesi, 1881)",accepted,Salticidae
Araegeus mimicus,"Simon, 1901",accepted,Salticidae
Araneotanna ornatipes,"(Berland, 1938)",accepted,Salticidae
Arasia eucalypti,"Gardzinska, 1996",accepted,Salticidae
Arasia mollicoma,"(L. Koch, 1880)",accepted,Salticidae
Arasia mullion,"Zabka, 2002",accepted,Salticidae
Arindas,"Mello-Leitão, 1933",synonym,Salticidae
Arnoliseus calcarifer,"(Simon, 1902)",accepted,Salticidae
Arnoliseus graciosa,"Braul & Lise, 2002",accepted,Salticidae
Arnoliseus paranaensis,"(Mello-Leitão, 1947)",synonym,Salticidae
Artabrus erythrocephalus,"(C. L. Koch, 1846)",accepted,Salticidae
Aruana silvicola,"Strand, 1911",accepted,Salticidae
Aruana vanstraeleni,"(Roewer, 1938)",accepted,Salticidae
Aruattus agostii,"Logunov & Azarkina, 2008",accepted,Salticidae
Asaphobelis physonychus,"Simon, 1902",accepted,Salticidae
Asaphobelis pluripunctatus,"Mello-Leitão, 1947",synonym,Salticidae
Asaracus megacephalus,"C. L. Koch, 1846",accepted,Salticidae
Asaracus modestissimus,"(Caporiacco, 1947)",accepted,Salticidae
Asaracus rufociliatus,"(Simon, 1902)",accepted,Salticidae
Asaracus semifimbriatus,"(Simon, 1902)",accepted,Salticidae
Asaracus venezuelicus,"(Caporiacco, 1955)",accepted,Salticidae
Ascalus,"Thorell, 1894",synonym,Salticidae
Ascyltus asper,"(Karsch, 1878)",accepted,Salticidae
Ascyltus audax,"(Rainbow, 1897)",accepted,Salticidae
Ascyltus divinus,"Karsch, 1878",accepted,Salticidae
Ascyltus ferox,"(Rainbow, 1897)",accepted,Salticidae
Ascyltus lautus,"(Keyserling, 1881)",accepted,Salticidae
Ascyltus minahassae,"Merian, 1911",accepted,Salticidae
Ascyltus opulentus,"(Walckenaer, 1837)",accepted,Salticidae
Ascyltus pterygodes,"(L. Koch, 1865)",accepted,Salticidae
Ascyltus rhizophora,"Berry, Beatty & Prószyński, 1997",accepted,Salticidae
Ascyltus senex,"(Simon, 1885)",synonym,Salticidae
Ascyltus similis,"Berry, Beatty & Prószyński, 1997",accepted,Salticidae
Ascyltus simplex,"Karsch, 1878",synonym,Salticidae
Asemonea amatola,"Wesolowska & Haddad, 2013",accepted,Salticidae
